original	changed
it’s a waste of time and effort to make everyone ask or introduce pronouns or gender, because most people don’t care.	it’s a waste of time and effort to make everyone ask or introduce pronouns or gender, since most people don’t care.
paralympic sport brings attention to athletes who are typically overlooked in american society because the majority of the population does not want to identify with people who are disabled.	paralympic sport brings attention to athletes who are typically overlooked in american society since the majority of the population does not want to identify with people who are disabled.
i cried when i told her because i felt so, just, like, oh my god.	i cried when i told her since i felt so, just, like, oh my god.
now imagine if they mailed another 5 to everyone -- the value crashes even harder because there are so many of them now.	now imagine if they mailed another 5 to everyone -- the value crashes even harder since there are so many of them now.
she said thanks a lot, you know, because she was so worried about jonathan.	she said thanks a lot, you know, since she was so worried about jonathan.
we walked back through the school because it was drizzling, my father tall in his navy suit and my shoes going click on the linoleum.	we walked back through the school since it was drizzling, my father tall in his navy suit and my shoes going click on the linoleum.
regretting it still, because even though it's been like two days i don't feel there is a healthy enough charge to engage with people again.	regretting it still, since even though it's been like two days i don't feel there is a healthy enough charge to engage with people again.
i got some really cool footage but um, not like cute like instagram girl footage, because i did dress like a 12 year old boy the whole time.	i got some really cool footage but um, not like cute like instagram girl footage, since i did dress like a 12 year old boy the whole time.
if you work for a company, they pay you that money because it has value and you can buy things with it.	if you work for a company, they pay you that money since it has value and you can buy things with it.
the units may only work for a short time because mice can become used to them. [4]	the units may only work for a short time since mice can become used to them. [4]
by the time you get to be a writer for the onion, though, the odds are you are going to succeed because we make it pretty challenging.	by the time you get to be a writer for the onion, though, the odds are you are going to succeed since we make it pretty challenging.
and so that prolonged period of time, we were probably in the car with each other for like 40 minutes because we drove one way and then drove back.	and so that prolonged period of time, we were probably in the car with each other for like 40 minutes since we drove one way and then drove back.
"we are so interested because we find a big chance to show the talent and ability of afghans," team member rodaba noori told the press, "to show that afghan women can make robots too and we can improve in this section — [the] robotics section.	"we are so interested since we find a big chance to show the talent and ability of afghans," team member rodaba noori told the press, "to show that afghan women can make robots too and we can improve in this section — [the] robotics section.
can't order item because stuff isn't saved on file:	can't order item since stuff isn't saved on file:
the area has a milder climate than the country's average, and because of this, is home to flora and fauna not seen anywhere else in denmark.	the area has a milder climate than the country's average, and since of this, is home to flora and fauna not seen anywhere else in denmark.
the back of my jersey says "the poet' because growing up that was my nickname.	the back of my jersey says "the poet' since growing up that was my nickname.
our firm raised our rates recently by 30% and lost 3-7% of our clients because we were "too expensive".	our firm raised our rates recently by 30% and lost 3-7% of our clients since we were "too expensive".
people with the best intentions sometimes travel to a society to “help” its people, because they see them as uneducated or backward-essentially inferior.	people with the best intentions sometimes travel to a society to “help” its people, since they see them as uneducated or backward-essentially inferior.
